25.0,1693.0,190.538
11.0,1442.0,126.923
61.0,1468.0,10.632
69.0,1640.0,97.769
98.0,1442.0,137.308
49.0,1693.0,170.077
58.0,1468.0,16.108
86.0,1468.0,6.187
47.0,1468.0,31.746
66.0,1516.0,48.336
20.0,1516.0,143.538
8.0,1640.0,31.692
62.0,1442.0,113.154
41.0,1693.0,56.615
62.0,1468.0,14.528
9.0,1468.0,120.764
79.0,1468.0,7.674
45.0,1442.0,185.692
70.0,1640.0,39.308
96.0,1468.0,12.069
41.0,1516.0,91.977
97.0,1693.0,137.692
44.0,1693.0,37.231
7.0,1516.0,182.1
9.0,1693.0,112.923
37.0,1640.0,170.077
22.0,1442.0,32.615
85.0,1693.0,76.538
45.0,1640.0,48.154
27.0,1693.0,32.077
89.0,1442.0,19.615
65.0,1693.0,3.538
7.0,1468.0,126.028
36.0,1640.0,102.538
8.0,1516.0,173.355
96.0,1442.0,22.231
89.0,1516.0,23.392
83.0,1693.0,182.154
14.0,1442.0,175.0
41.0,1640.0,24.154
2.0,1693.0,36.692
14.0,1693.0,135.385
44.0,1442.0,148.308
71.0,1516.0,39.312
56.0,1516.0,60.929
99.0,1442.0,77.538
48.0,1442.0,38.615
24.0,1640.0,23.923
90.0,1516.0,18.664
84.0,1442.0,192.154
92.0,1693.0,13.615
61.0,1693.0,145.462
37.0,1693.0,60.154
72.0,1442.0,66.692
68.0,1693.0,139.0
19.0,1442.0,107.923
48.0,1693.0,77.769
16.0,1516.0,150.484
70.0,1468.0,4.902
72.0,1693.0,186.846
10.0,1516.0,166.94
69.0,1516.0,40.928
67.0,1640.0,104.308
32.0,1516.0,114.462
29.0,1640.0,51.846
40.0,1516.0,92.511
52.0,1442.0,29.385
26.0,1640.0,74.231
45.0,1693.0,73.692
82.0,1468.0,0.499
25.0,1640.0,69.231
39.0,1442.0,176.308
42.0,1640.0,114.385
28.0,1516.0,121.527
84.0,1693.0,47.615
30.0,1516.0,117.095
22.0,1693.0,143.462
39.0,1468.0,39.151
31.0,1468.0,56.203
58.0,1442.0,173.231
15.0,1693.0,92.462
73.0,1516.0,41.994
14.0,1468.0,107.133
64.0,1468.0,5.855
1.0,1468.0,147.585
45.0,1468.0,28.63
72.0,1468.0,8.941
64.0,1516.0,53.698
33.0,1516.0,108.732
36.0,1442.0,83.308
5.0,1640.0,160.615
78.0,1640.0,164.846
60.0,1468.0,18.179
86.0,1442.0,89.846
99.0,1516.0,7.313
11.0,1516.0,171.469
23.0,1640.0,16.231
45.0,1516.0,82.99
51.0,1693.0,121.769
12.0,1693.0,82.615
81.0,1693.0,33.462
22.0,1468.0,87.636
18.0,1693.0,132.0
94.0,1468.0,6.096
22.0,1640.0,41.538
3.0,1693.0,192.0
78.0,1468.0,5.622
64.0,1640.0,3.154
23.0,1693.0,128.077
86.0,1516.0,26.726
63.0,1442.0,120.077
18.0,1468.0,96.529
90.0,1693.0,140.154
24.0,1693.0,82.154
36.0,1693.0,45.154
50.0,1516.0,77.484
12.0,1442.0,190.692
54.0,1516.0,62.982
82.0,1516.0,25.681
79.0,1516.0,28.231
84.0,1516.0,22.304
